energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization,band_gap,sgr,mp_id,formula,URL,cell_volume
-4.951738039,-74.27607059,2.643093598,-2.081577931,2,0.9286,1,mp-850211,Li8CoO5F,https://materialsproject.org/materials/mp-850211,134.1053585
-5.9089545,-11.817909,7.098569651,-0.059170734,2.0782112,0,225,mp-1009077,FeH,https://materialsproject.org/materials/mp-1009077,13.29937312
-4.144400987,-12.43320296,3.308228055,-0.122038699,2.0000001,0.2025,71,mp-634706,NiO2,https://materialsproject.org/materials/mp-634706,45.52223614
-4.737254712,-23.68627356,3.582156527,-1.56064828,0,2.9545,71,mp-19183,Li2NiO2,https://materialsproject.org/materials/mp-19183,48.47625735
-4.713851756,-23.56925878,3.326562825,-1.537245323,2.0000001,1.938,166,mp-754756,Li2NiO2,https://materialsproject.org/materials/mp-754756,52.20089047
-4.57552803,-13.72658409,4.627086453,-0.553165743,0,1.5218,166,mp-25210,NiO2,https://materialsproject.org/materials/mp-25210,32.5470337
-4.8797417,-24.3987085,2.189845531,-1.170429663,1.9999998,1.8437,5,mp-626843,Ni(HO)2,https://materialsproject.org/materials/mp-626843,70.29965538
-4.898972308,-24.49486154,3.778451905,-1.189660271,1.9999997,3.1137,5,mp-625074,Ni(HO)2,https://materialsproject.org/materials/mp-625074,40.74297888
-4.901087194,-24.50543597,3.860605552,-1.191775157,2,3.1594,12,mp-1180084,Ni(HO)2,https://materialsproject.org/materials/mp-1180084,39.8759687
-4.90463132,-24.5231566,3.864830079,-1.195319283,2.0000004,3.1318,164,mp-27912,Ni(HO)2,https://materialsproject.org/materials/mp-27912,39.83238151
-4.672124474,-23.36062237,3.621904002,-0.962812437,1.9999998,0.5338,156,mp-625072,Ni(HO)2,https://materialsproject.org/materials/mp-625072,42.50399405
-4.889403998,-24.44701999,2.188653644,-1.180091961,2.0000001,1.8011,166,mp-626794,Ni(HO)2,https://materialsproject.org/materials/mp-626794,70.33793883
-4.885665015,-73.28497522,2.613376847,-2.202562576,3.0000002,2.4757,2,mp-759827,Li8Co(O2F)2,https://materialsproject.org/materials/mp-759827,137.5358387
