energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization_uB,total_magnetization_T,band_gap,sgr,num_sites,cell_volume,weight,mp_id,formula,URL,tsne_xrd_lin1_0,tsne_xrd_lin1_1,tsne_xrd_lin2_0,tsne_xrd_lin2_1
-4.399872822727274,-48.39860105,7.261146182171013,-0.4270688232845462,1e-07,4.566677871663923e-09,0.08009999999999984,6,11,255.1978725031769,1115.9202,mp-1101007,Tl5NO5,https://materialsproject.org/materials/mp-1101007,8.60604687196236,22.225684248871,2.6641511683761734,24.766557107266074
-8.482515917999999,-84.82515918,4.412946242686234,-3.008738296875001,0.9999998999999999,0.07091854000198303,0.0,123,10,164.33028100729857,436.71403,mp-1079978,LaNb2O7,https://materialsproject.org/materials/mp-1079978,27.969412478901514,61.73283922765329,-8.215496554971255,42.00289960030603
-7.712647941666668,-46.27588765,7.861292557391533,-4.287837936646668,0.0,0.0,4.9436,166,6,81.92468714212303,387.8463064,mp-14093,TbOF,https://materialsproject.org/materials/mp-14093,26.270747815120767,64.59374647150257,-11.19975249352103,36.35170765934308
-7.4058150214285705,-51.84070515,6.117910540415808,-3.0010709062085703,4.0000004,0.4895925772522111,0.0,107,7,95.21440053992191,350.79764500000005,mp-1217982,SrNdMnO4,https://materialsproject.org/materials/mp-1217982,-21.71114047155705,24.573161087206092,-14.366092767254028,59.010077075756925
-8.375124207941179,-284.75422307,5.4545505331760635,-1.1387166032664713,27.99999965,0.4804116850434033,0.4205999999999994,194,34,679.2378697517893,2231.16542,mp-638276,LiEu4C3(IN2)3,https://materialsproject.org/materials/mp-638276,-3.6616694043771463,19.368248387614273,-3.326622551647972,63.09102773794223
-6.528334775,-156.6800346,6.677800396755012,-2.8013073346875013,1.99999545,0.08540711145628226,0.0,113,24,272.9055709963389,1097.480328,mp-1207637,Yb2Be2GeO7,https://materialsproject.org/materials/mp-1207637,-2.9139107550862664,12.480978088088547,-16.1696059679909,44.51666302858261
-7.770176513571428,-108.78247119,5.00744249291421,-3.3549929112380954,3.1e-06,1.951739352345846e-07,2.4499000000000004,129,14,185.10463885206985,558.19273856,mp-20980,NaNdTiO4,https://materialsproject.org/materials/mp-20980,-4.943199958763753,20.138112056347406,3.517714187821185,47.52625239179162
-6.284184600666666,-94.26276901,7.340103087529216,-2.0531756726666672,6.0988873,0.3141027047837286,0.0,139,15,226.28530907965515,1000.252,mp-1208972,Sr2EuCu2(BiO4)2,https://materialsproject.org/materials/mp-1208972,-5.549814023122192,20.695414649068827,-10.5850876305931,45.02649289029381
-4.33467273625,-34.67738189,6.0342822616864,-2.0657496869641667,3.85e-06,2.383134891586171e-07,1.2797999999999998,129,8,188.27364549428168,684.1732063999999,mp-1080438,SrAgTeF,https://materialsproject.org/materials/mp-1080438,-36.11413550519032,-5.00573665079092,-40.396513583533824,-8.777054940663183
-4.7721579985,-95.44315997,4.766678016794439,-1.4895221872469997,0.0005591,1.1233480144409463e-05,1.0459,166,20,580.0328598596241,1665.0195,mp-1228725,Ba10BrN5Cl4,https://materialsproject.org/materials/mp-1228725,-13.730626779966526,20.780326377196115,-1.4844753386952203,-23.570492462043614
-5.521831287826087,-127.00211962,6.214213818617921,-1.969478182608696,0.0,0.0,0.0,139,23,333.9752853208769,1249.8314,mp-556574,Ba2Ca3Tl2(CuO3)4,https://materialsproject.org/materials/mp-556574,-4.4935763161382125,19.708069223582218,4.121878801903444,47.36933367097151
-6.972900597333332,-104.59350896,6.276143992955816,-2.5196669547499986,2.999998,0.14007638585118304,0.0,121,15,249.59361135069042,943.3596,mp-1226848,Ce4Cu3(SO)4,https://materialsproject.org/materials/mp-1226848,-8.76763719680091,15.834102441241194,-14.468902886100215,58.3529708380108
-3.88499475625,-31.07995805,4.667508793215041,2.173263877113333,0.0,0.0,0.0,65,8,106.64785222138228,299.7700000000001,mp-561891,AgCNO,https://materialsproject.org/materials/mp-561891,1.017485475706988,8.423007903798483,3.359325093455181,21.96337520087959
-6.6399327075,-53.11946166,5.609066653057631,-0.2720919363541663,0.12309415,0.00795323300352817,0.0,12,8,180.3728366296817,609.2739999999999,mp-1078268,Pr2BC,https://materialsproject.org/materials/mp-1078268,6.964676597240026,8.577944162157955,7.747489611106308,25.385399104984746
-6.28759023,-88.02626322,4.045848936619212,-1.0294896591152385,0.9997113999999999,0.040236407416311536,0.0,176,14,289.5562043827806,705.4942000000002,mp-1245686,Sr3TiN3,https://materialsproject.org/materials/mp-1245686,-4.241268456327062,21.087767568730182,4.620668048162859,48.666252504600784
-7.472212657142856,-104.6109772,5.875639870431173,-3.0443976904942853,4.0,0.2387340311865765,0.10440000000000003,63,14,195.26440725079132,690.92223,mp-1218183,SrLaMnO4,https://materialsproject.org/materials/mp-1218183,-22.865500938347317,38.35700660065126,-14.540557740034174,58.726659027645255
-6.9143306708333325,-331.8878722,6.454808886210098,-0.4579028743229176,0.0099441,0.00010382459432001817,0.0,225,48,1116.2016694002778,4338.87327,mp-607917,La21Fe8Sn7C12,https://materialsproject.org/materials/mp-607917,-0.2353700937023093,26.279883875523424,-13.714266411727483,43.99916010414278
-7.19468142877193,-410.09684144,6.990012085683196,-2.8576425222587725,6.634823599999999,0.10108291568503608,0.0,82,57,764.9429526730028,3220.01492,mp-867595,La16Ni8O33,https://materialsproject.org/materials/mp-867595,-22.888425493651056,38.54168124155303,-14.796661117838955,58.73718611222166
-7.187997684680852,-337.83589118,6.440525285209889,-0.7090952673404252,4.8134164,0.051133956674338704,0.0,225,47,1097.037470817362,4254.9421600000005,mp-1223565,La20Mn8Te7C12,https://materialsproject.org/materials/mp-1223565,-0.10727982077172088,26.3456599172262,-16.696911642074888,41.283764073353794
